hs6,description
030243,"fish; fresh or chilled, sardines (sardina pilchardus, sardinops spp.), sardinella (sardinella spp.), brisling or sprats (sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030244,"fish; fresh or chilled, mackerel (scomber scombrus, scomber australasicus, scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030245,"fish; fresh or chilled, jack and horse mackerel (trachurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030246,"fish; fresh or chilled, cobia (rachycentron canadum), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030247,"fish; fresh or chilled, swordfish (xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030249,"fish; fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030251,"fish; fresh or chilled, cod (gadus morhua, gadus ogac, gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030252,"fish; fresh or chilled, haddock (melanogrammus aeglefinus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030253,"fish; fresh or chilled, coalfish (pollachius virens), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030254,"fish; fresh or chilled, hake (merluccius spp., urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030255,"fish; fresh or chilled, alaska pollock (theragra chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030256,"fish; fresh or chilled, blue whitings (micromesistius poutassou, micromesistius australis),excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030259,"fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030271,"fish; fresh or chilled, tilapias (oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030272,"fish; fresh or chilled, catfish (pangasius spp., silurus spp., clarias spp., ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030273,"fish; fresh or chilled, carp (as specified by the wco.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030274,"fish; fresh or chilled, eels (anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030279,"fish; fresh or chilled, nile perch (lates niloticus) and snakeheads (channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030281,"fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030282,"fish; fresh or chilled, rays and skates (rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030283,"fish; fresh or chilled, toothfish (dissostichus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030284,"fish; fresh or chilled, seabass (dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030285,"fish; fresh or chilled, seabream (sparidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030289,"fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
030291,"fish; fresh or chilled, livers, roes and milt"
030292,"fish; fresh or chilled, shark fins"
030299,"fish; fresh or chilled, fish fins (other than shark fins), heads, tails, maws and other edible fish offal"
030311,"fish; frozen, pacific salmon, sockeye salmon (red salmon) (oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030312,"fish; frozen, pacific salmon (oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030313,"fish; frozen, atlantic salmon (salmo salar) and danube salmon (hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030314,"fish; frozen, trout (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster), excluding fillets, meat of 0304, and edible fish offal of 0303.91 to 0303.99"
030319,"fish; frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030323,"fish; frozen, tilapias (oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030324,"fish; frozen, catfish (pangasius spp., silurus spp., clarias spp., ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030325,"fish; frozen, carp (as specified by the wco), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030326,"fish; frozen, eels (anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030329,"fish; frozen, nile perch (lates niloticus) and snakeheads (channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030331,"fish; frozen, halibut (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030332,"fish; frozen, plaice (pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030333,"fish; frozen, sole (solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030334,"fish; frozen, turbots (psetta maxima, scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030339,"fish; frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030341,"fish; frozen, albacore or longfinned tunas (thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030342,"fish; frozen, yellowfin tunas (thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030343,"fish; frozen, skipjack tuna (stripe-bellied bonito) (katsuwonus pelamis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030344,"fish; frozen, bigeye tunas (thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030345,"fish; frozen, atlantic and pacific bluefin tunas (thunnus thynnus, thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030346,"fish; frozen, southern bluefin tunas (thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030349,"fish; frozen, tuna, n.e.c. in item no. 0303.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030351,"fish; frozen, herrings (clupea harengus, clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030353,"fish; frozen, sardines (sardina pilchardus, sardinops spp.), sardinella (sardinella spp.), brisling or sprats (sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030354,"fish; frozen, mackerel (scomber scombrus, scomber australasicus, scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030355,"fish; frozen, jack and horse mackerel (trachurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030356,"fish; frozen, cobia (rachycentron canadum), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030357,"fish; frozen, swordfish (xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030359,"fish; frozen, n.e.c. in item no. 0303.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030363,"fish; frozen, cod (gadus morhua, gadus ogac, gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030364,"fish; frozen, haddock (melanogrammus aeglefinus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030365,"fish; frozen, coalfish (pollachius virens), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030366,"fish; frozen, hake (merluccius spp., urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030367,"fish; frozen, alaska pollock (theragra chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030368,"fish; frozen, blue whitings (micromesistius poutassou, micromesistius australis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030369,"fish; frozen, of bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae, muraenolepididae, other than cod, haddock, coalfish, hake, alaska pollack, blue whitings, not fillets, meat of 0304, and edible offal of 0303.9"
030381,"fish; frozen, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030382,"fish; frozen, rays and skates (rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030383,"fish; frozen, toothfish (dissostichus spp.), excluding fillets, livers, roes, and edible fish offal of subheadings 0303.91 to 0303.99"
030384,"fish; frozen, seabass (dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030389,"fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
030391,"fish; frozen, livers, roes and milt"
030392,"fish; frozen, shark fins"
030399,"fish; frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal"
030431,"fish fillets; fresh or chilled, tilapias (oreochromis spp.)"
030432,"fish fillets; fresh or chilled, catfish (pangasius spp., silurus spp., clarias spp., ictalurus spp.)"
030433,"fish fillets; fresh or chilled, nile perch (lates niloticus)"
030439,"fish fillets; fresh or chilled, carp (as specified by the wco), eels (anguilla spp.), and snakeheads (channa spp.)"
030441,"fish fillets; fresh or chilled, salmon, pacific (oncorhynchus nerka, oncorhynchus gorbuscha, oncorhynchus keta, oncorhynchus tschawytscha, oncorhynchus kisutch, oncorhynchus masou and oncorhynchus rhodurus), atlantic (salmo salar), danube (hucho hucho)"
030442,"fish fillets; fresh or chilled, trout (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster)"
030443,"fish fillets; fresh or chilled, flat fish (pleuronectidae, bothidae, cynoglossidae, soleidae, scophthalmidae and citharidae)"
030444,"fish fillets; fresh or chilled, of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae, and muraenolepididae"
030445,"fish fillets; fresh or chilled, swordfish (xiphias gladius)"
030446,"fish fillets; fresh or chilled, toothfish (dissostichus spp.)"
030447,"fish fillets; fresh or chilled, dogfish and other sharks"
030448,"fish fillets; fresh or chilled, rays and skates (rajidae)"
030449,"fish fillets; fresh or chilled, other than fish of heading 0304.4"
030451,"fish meat, excluding fillets, whether or not minced; fresh or chilled, tilapias, catfish, carp, eels, nile perch, and snakeheads"
030452,"fish meat, excluding fillets, whether or not minced; fresh or chilled, salmonidae"
030453,"fish meat, excluding fillets, whether or not minced; fresh or chilled, of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae, and muraenolepididae"
030454,"fish meat, excluding fillets, whether or not minced; fresh or chilled, swordfish (xiphias gladius)"
030455,"fish meat, excluding fillets, whether or not minced; fresh or chilled, toothfish (dissostichus spp.)"
030456,"fish meat; excluding fillets, whether or not minced; fresh or chilled, dogfish and other sharks"
030457,"fish meat; excluding fillets, whether or not minced; fresh or chilled, rays and skates (rajidae)"
030459,"fish meat; excluding fillets, whether or not minced; fresh or chilled, of fish n.e.c. in item no. 0304.5"
030461,"fish fillets; frozen, tilapias (oreochromis spp.)"
030462,"fish fillets; frozen, catfish (pangasius spp., silurus spp., clarias spp., ictalurus spp.)"
030463,"fish fillets; frozen, nile perch (lates niloticus)"
030469,"fish fillets; frozen, carp (cyprinus/carassius/ctenopharyngodon idellus/hypophthalmichthys/cirrhinus/mylopharyngodon piceus/catla catla/labeo/osteochilus hasselti/leptobarbus hoeveni/megalobrama), eels (anguilla) and snakeheads (channa)"
030471,"fish fillets; frozen, cod (gadus morhua, gadus ogac, gadus macrocephalus)"
030472,"fish fillets; frozen, haddock (melanogrammus aeglefinus)"
030473,"fish fillets; frozen, coalfish (pollachius virens)"
030474,"fish fillets; frozen, hake (merluccius spp., urophycis spp.)"
030475,"fish fillets; frozen, alaska pollock (theragra chalcogramma)"
030479,"fish fillets; frozen, of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae other than cod, haddock, coalfish, hake, and alaska pollock"
030481,"fish fillets; frozen, salmon, pacific (oncorhynchus nerka, oncorhynchus gorbuscha, oncorhynchus keta, oncorhynchus tschawytscha, oncorhynchus kisutch, oncorhynchus masou, oncorhynchus rhodurus), atlantic (salmo salar), and danube (hucho hucho)"
030482,"fish fillets; frozen, trout (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster)"
030483,"fish fillets; frozen, flat fish (pleuronectidae, bothidae, cynoglossidae, soleidae, scophthalmidae and citharidae)"
030484,"fish fillets; frozen, swordfish (xiphias gladius)"
030485,"fish fillets; frozen, toothfish (dissostichus spp.)"
030486,"fish fillets; frozen, herrings (clupea harengus, clupea pallasii)"
030487,"fish fillets; frozen, tunas (of the genus thunnus), skipjack tuna (stripe-bellied bonito) (katsuwonus pelamis)"
030488,"fish fillets; frozen, dogfish, other sharks, rays and skates (rajidae)"
030489,"fish fillets; frozen, of fish n.e.c. in heading 0304.8"
030491,"fish meat, excluding fillets, whether or not minced; frozen, swordfish (xiphias gladius)"
030492,"fish meat, excluding fillets, whether or not minced; frozen, toothfish (dissostichus spp.)"
030493,"fish meat, excluding fillets, whether or not minced; frozen, tilapias, catfish, carp, eels, nile perch, and snakeheads"
030494,"fish meat, excluding fillets, whether or not minced; frozen, alaska pollock (theragra chalcogramma)"
030495,"fish meat, excluding fillets, whether or not minced; frozen, of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae, other than alaska pollock (theragra chalcogramma)"
030496,"fish meat, excluding fillets, whether or not minced; frozen, dogfish and other sharks"
030497,"fish meat, excluding fillets, whether or not minced; frozen, rays and skates (rajidae)"
030499,"fish meat, excluding fillets, whether or not minced; frozen, n.e.c. in item no. 0304.9"
030520,"fish; livers, roes and milt of fish, dried, smoked, salted or in brine"
030531,"fish fillets; dried, salted or in brine, but not smoked, tilapias, catfish, carp, eels, nile perch, and snakeheads"
030532,"fish fillets; dried, salted or in brine, but not smoked, of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae"
030539,"fish fillets; dried, salted or in brine, but not smoked, n.e.c. in item no. 0305.3"
030541,"fish; smoked, whether or not cooked before or during smoking, salmon, pacific (oncorhynchus nerka, gorbuscha, keta, tschawytscha, kisutch, masou, rhodurus), atlantic (salmo salar) and danube (hucho hucho), includes fillets, but excludes edible fish offal"
030542,"fish; smoked, whether or not cooked before or during smoking, herrings (clupea harengus, clupea pallasii), includes fillets, but excludes edible fish offal"
030543,"fish; smoked, whether or not cooked before or during smoking, trout (salmo trutta, oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster), includes fillets, but excludes edible fish offal"
030544,"fish; smoked, whether or not cooked before or during smoking, tilapias, catfish, carp, eels, nile perch, and snakeheads, includes fillets, but excludes edible fish offal"
030549,"fish; smoked, whether or not cooked before or during smoking, n.e.c. in item no. 0305.4, includes fillets, but excludes edible fish offal"
030551,"fish; dried, whether or not salted but not smoked, other than edible fish offal, cod (gadus morhua, gadus ogac, gadus macrocephalus)"
030552,"fish; dried, whether or not salted but not smoked, tilapias, catfish, carp, eels, nile perch, and snakeheads"
030553,"fish; dried, whether or not salted but not smoked, fish of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae, other than cod"
